"hSeedTeam","lSeedTeam","hSeed","lSeed","CURRENT ROUND","hSeed_won","year","Pred_Prob","Pred_Win","Correct","Actual_Result"
"Auburn","Alabama St.",1,16,64,1,2025,0.9693,1,1,"Favored Won"
"Louisville","Creighton",8,9,64,0,2025,0.4877,0,1,"Upset"
"Michigan","UC San Diego",5,12,64,1,2025,0.7772,1,1,"Favored Won"
"Texas A&M","Yale",4,13,64,1,2025,0.9499,1,1,"Favored Won"
"Mississippi","North Carolina",6,11,64,1,2025,0.3597,0,0,"Favored Won"
"Iowa St.","Lipscomb",3,14,64,1,2025,0.7829,1,1,"Favored Won"
"Marquette","New Mexico",7,10,64,0,2025,0.7429,1,0,"Upset"
"Michigan St.","Bryant",2,15,64,1,2025,0.961,1,1,"Favored Won"
"Florida","Norfolk St.",1,16,64,1,2025,0.9638,1,1,"Favored Won"
"Connecticut","Oklahoma",8,9,64,1,2025,0.4721,0,0,"Favored Won"
"Memphis","Colorado St.",5,12,64,0,2025,0.5264,0,1,"Upset"
"Maryland","Grand Canyon",4,13,64,1,2025,0.9488,1,1,"Favored Won"
"Missouri","Drake",6,11,64,0,2025,0.8778,1,0,"Upset"
"Texas Tech","UNC Wilmington",3,14,64,1,2025,0.9531,1,1,"Favored Won"
"Kansas","Arkansas",7,10,64,0,2025,0.5004,0,1,"Upset"
"St. John's","Nebraska Omaha",2,15,64,1,2025,0.9604,1,1,"Favored Won"
"Duke","Mount St. Mary's",1,16,64,1,2025,0.9651,1,1,"Favored Won"
"Mississippi St.","Baylor",8,9,64,0,2025,0.3283,0,1,"Upset"
"Oregon","Liberty",5,12,64,1,2025,0.7801,1,1,"Favored Won"
"Arizona","Akron",4,13,64,1,2025,0.9489,1,1,"Favored Won"
"BYU","VCU",6,11,64,1,2025,0.5771,1,1,"Favored Won"
"Wisconsin","Montana",3,14,64,1,2025,0.953,1,1,"Favored Won"
"Saint Mary's","Vanderbilt",7,10,64,1,2025,0.4983,0,0,"Favored Won"
"Alabama","Robert Morris",2,15,64,1,2025,0.9602,1,1,"Favored Won"
"Houston","SIU Edwardsville",1,16,64,1,2025,0.9666,1,1,"Favored Won"
"Gonzaga","Georgia",8,9,64,1,2025,0.6863,1,1,"Favored Won"
"Clemson","McNeese St.",5,12,64,0,2025,0.3836,0,1,"Upset"
"Purdue","High Point",4,13,64,1,2025,0.9475,1,1,"Favored Won"
"Illinois","Xavier",6,11,64,1,2025,0.5728,1,1,"Favored Won"
"Kentucky","Troy",3,14,64,1,2025,0.9543,1,1,"Favored Won"
"UCLA","Utah St.",7,10,64,1,2025,0.7439,1,1,"Favored Won"
"Tennessee","Wofford",2,15,64,1,2025,0.965,1,1,"Favored Won"
"Auburn","Creighton",1,9,32,1,2025,0.8005,1,1,"Favored Won"
"Texas A&M","Michigan",4,5,32,0,2025,0.3533,0,1,"Upset"
"Iowa St.","Mississippi",3,6,32,0,2025,0.3719,0,1,"Upset"
"Michigan St.","New Mexico",2,10,32,1,2025,0.8074,1,1,"Favored Won"
"Florida","Connecticut",1,8,32,1,2025,0.7953,1,1,"Favored Won"
"Maryland","Colorado St.",4,12,32,1,2025,0.8019,1,1,"Favored Won"
"Texas Tech","Drake",3,11,32,1,2025,0.9512,1,1,"Favored Won"
"St. John's","Arkansas",2,10,32,0,2025,0.4333,0,1,"Upset"
"Duke","Baylor",1,9,32,1,2025,0.7799,1,1,"Favored Won"
"Arizona","Oregon",4,5,32,1,2025,0.5755,1,1,"Favored Won"
"Wisconsin","BYU",3,6,32,0,2025,0.5295,0,1,"Upset"
"Alabama","Saint Mary's",2,7,32,1,2025,0.9065,1,1,"Favored Won"
"Houston","Gonzaga",1,8,32,1,2025,0.444,0,0,"Favored Won"
"Purdue","McNeese St.",4,12,32,1,2025,0.6394,1,1,"Favored Won"
"Kentucky","Illinois",3,6,32,1,2025,0.5369,0,0,"Favored Won"
"Tennessee","UCLA",2,7,32,1,2025,0.4156,0,0,"Favored Won"
"Auburn","Michigan",1,5,16,1,2025,0.7881,1,1,"Favored Won"
"Michigan St.","Mississippi",2,6,16,1,2025,0.5673,1,1,"Favored Won"
"Florida","Maryland",1,4,16,1,2025,0.9543,1,1,"Favored Won"
"Texas Tech","Arkansas",3,10,16,1,2025,0.6503,1,1,"Favored Won"
"Duke","Arizona",1,4,16,1,2025,0.5707,1,1,"Favored Won"
"Alabama","BYU",2,6,16,1,2025,0.8087,1,1,"Favored Won"
"Houston","Purdue",1,4,16,1,2025,0.5911,1,1,"Favored Won"
"Tennessee","Kentucky",2,3,16,1,2025,0.4025,0,0,"Favored Won"
"Auburn","Michigan St.",1,2,8,1,2025,0.6347,1,1,"Favored Won"
"Florida","Texas Tech",1,3,8,1,2025,0.5835,1,1,"Favored Won"
"Duke","Alabama",1,2,8,1,2025,0.5423,0,0,"Favored Won"
"Houston","Tennessee",1,2,8,1,2025,0.7531,1,1,"Favored Won"
"Auburn","Florida",1,1,4,0,2025,0.398,0,1,"Upset"
"Duke","Houston",1,1,4,0,2025,0.5307,0,1,"Upset"
"Florida","Houston",1,1,2,1,2025,0.5434,0,0,"Favored Won"
"Connecticut","Stetson",1,16,64,1,2024,0.9458,1,1,"Favored Won"
"Florida Atlantic","Northwestern",8,9,64,0,2024,0.5423,0,1,"Upset"
"San Diego St.","UAB",5,12,64,1,2024,0.9415,1,1,"Favored Won"
"Auburn","Yale",4,13,64,0,2024,0.8323,1,0,"Upset"
"BYU","Duquesne",6,11,64,0,2024,0.7179,1,0,"Upset"
"Illinois","Morehead St.",3,14,64,1,2024,0.7365,1,1,"Favored Won"
"Washington St.","Drake",7,10,64,1,2024,0.6561,1,1,"Favored Won"
"Iowa St.","South Dakota St.",2,15,64,1,2024,0.9495,1,1,"Favored Won"
"North Carolina","Wagner",1,16,64,1,2024,0.9547,1,1,"Favored Won"
"Mississippi St.","Michigan St.",8,9,64,0,2024,0.1994,0,1,"Upset"
"Saint Mary's","Grand Canyon",5,12,64,0,2024,0.6029,1,0,"Upset"
"Alabama","College of Charleston",4,13,64,1,2024,0.8805,1,1,"Favored Won"
"Clemson","New Mexico",6,11,64,1,2024,0.725,1,1,"Favored Won"
"Baylor","Colgate",3,14,64,1,2024,0.9453,1,1,"Favored Won"
"Dayton","Nevada",7,10,64,1,2024,0.7212,1,1,"Favored Won"
"Arizona","Long Beach St.",2,15,64,1,2024,0.7884,1,1,"Favored Won"
"Houston","Longwood",1,16,64,1,2024,0.8556,1,1,"Favored Won"
"Nebraska","Texas A&M",8,9,64,0,2024,0.3468,0,1,"Upset"
"Wisconsin","James Madison",5,12,64,0,2024,0.841,1,0,"Upset"
"Duke","Vermont",4,13,64,1,2024,0.8753,1,1,"Favored Won"
"Texas Tech","North Carolina St.",6,11,64,0,2024,0.1899,0,1,"Upset"
"Kentucky","Oakland",3,14,64,0,2024,0.9466,1,0,"Upset"
"Florida","Colorado",7,10,64,0,2024,0.4604,0,1,"Upset"
"Marquette","Western Kentucky",2,15,64,1,2024,0.7208,1,1,"Favored Won"
"Purdue","Grambling St.",1,16,64,1,2024,0.7364,1,1,"Favored Won"
"Utah St.","TCU",8,9,64,1,2024,0.1949,0,0,"Favored Won"
"Gonzaga","McNeese St.",5,12,64,1,2024,0.8198,1,1,"Favored Won"
"Kansas","Samford",4,13,64,1,2024,0.8987,1,1,"Favored Won"
"South Carolina","Oregon",6,11,64,0,2024,0.279,0,1,"Upset"
"Creighton","Akron",3,14,64,1,2024,0.9456,1,1,"Favored Won"
"Texas","Colorado St.",7,10,64,1,2024,0.3723,0,0,"Favored Won"
"Tennessee","Saint Peter's",2,15,64,1,2024,0.7527,1,1,"Favored Won"
"Connecticut","Northwestern",1,9,32,1,2024,0.9313,1,1,"Favored Won"
"San Diego St.","Yale",5,13,32,1,2024,0.9186,1,1,"Favored Won"
"Illinois","Duquesne",3,11,32,1,2024,0.72,1,1,"Favored Won"
"Iowa St.","Washington St.",2,7,32,1,2024,0.5637,1,1,"Favored Won"
"North Carolina","Michigan St.",1,9,32,1,2024,0.9045,1,1,"Favored Won"
"Alabama","Grand Canyon",4,12,32,1,2024,0.8077,1,1,"Favored Won"
"Baylor","Clemson",3,6,32,0,2024,0.6912,1,0,"Upset"
"Arizona","Dayton",2,7,32,1,2024,0.6647,1,1,"Favored Won"
"Houston","Texas A&M",1,9,32,1,2024,0.7098,1,1,"Favored Won"
"Duke","James Madison",4,12,32,1,2024,0.8349,1,1,"Favored Won"
"North Carolina St.","Oakland",11,14,32,1,2024,0.8359,1,1,"Favored Won"
"Marquette","Colorado",2,10,32,1,2024,0.874,1,1,"Favored Won"
"Purdue","Utah St.",1,8,32,1,2024,0.9338,1,1,"Favored Won"
"Kansas","Gonzaga",4,5,32,0,2024,0.7265,1,0,"Upset"
"Creighton","Oregon",3,11,32,1,2024,0.4889,0,0,"Favored Won"
"Tennessee","Texas",2,7,32,1,2024,0.731,1,1,"Favored Won"
"Connecticut","San Diego St.",1,5,16,1,2024,0.9353,1,1,"Favored Won"
"Iowa St.","Illinois",2,3,16,0,2024,0.5491,0,1,"Upset"
"North Carolina","Alabama",1,4,16,0,2024,0.8059,1,0,"Upset"
"Arizona","Clemson",2,6,16,0,2024,0.7733,1,0,"Upset"
"Houston","Duke",1,4,16,0,2024,0.6997,1,0,"Upset"
"Marquette","North Carolina St.",2,11,16,0,2024,0.6135,1,0,"Upset"
"Purdue","Gonzaga",1,5,16,1,2024,0.6538,1,1,"Favored Won"
"Tennessee","Creighton",2,3,16,1,2024,0.1743,0,0,"Favored Won"
"Connecticut","Illinois",1,3,8,1,2024,0.9502,1,1,"Favored Won"
"Alabama","Clemson",4,6,8,1,2024,0.5731,1,1,"Favored Won"
"Duke","North Carolina St.",4,11,8,0,2024,0.7614,1,0,"Upset"
"Purdue","Tennessee",1,2,8,1,2024,0.917,1,1,"Favored Won"
"Connecticut","Alabama",1,4,4,1,2024,0.9483,1,1,"Favored Won"
"Purdue","North Carolina St.",1,11,4,1,2024,0.6511,1,1,"Favored Won"
"Connecticut","Purdue",1,1,2,1,2024,0.7568,1,1,"Favored Won"
"Gonzaga","Georgia St.",1,16,64,1,2022,0.9561,1,1,"Favored Won"
"Boise St.","Memphis",8,9,64,0,2022,0.4741,0,1,"Upset"
"Connecticut","New Mexico St.",5,12,64,0,2022,0.9097,1,0,"Upset"
"Arkansas","Vermont",4,13,64,1,2022,0.8734,1,1,"Favored Won"
"Alabama","Notre Dame",6,11,64,0,2022,0.5312,0,1,"Upset"
"Texas Tech","Montana St.",3,14,64,1,2022,0.9454,1,1,"Favored Won"
"Michigan St.","Davidson",7,10,64,1,2022,0.7096,1,1,"Favored Won"
"Duke","Cal St. Fullerton",2,15,64,1,2022,0.9571,1,1,"Favored Won"
"Baylor","Norfolk St.",1,16,64,1,2022,0.9365,1,1,"Favored Won"
"North Carolina","Marquette",8,9,64,1,2022,0.8256,1,1,"Favored Won"
"Saint Mary's","Indiana",5,12,64,1,2022,0.2512,0,0,"Favored Won"
"UCLA","Akron",4,13,64,1,2022,0.9558,1,1,"Favored Won"
"Texas","Virginia Tech",6,11,64,1,2022,0.12,0,0,"Favored Won"
