"eta","max_depth","min_child_weight","subsample","colsample_bytree","avg_brier","avg_accuracy","avg_upset_recall","beats_naive"
0.01,3,10,0.5,0.5,0.181,0.733,0.447,10
0.008,2,15,0.5,0.7,0.1811,0.723,0.412,10
0.008,3,15,0.5,0.7,0.1811,0.725,0.42,10
0.01,3,8,0.5,0.5,0.1812,0.738,0.43,10
0.008,3,15,0.5,0.6,0.1812,0.738,0.458,10
0.01,3,15,0.5,0.6,0.1814,0.733,0.453,10
0.01,2,15,0.5,0.6,0.1815,0.731,0.445,10
0.008,2,15,0.5,0.6,0.1816,0.734,0.45,10
0.008,3,15,0.5,0.5,0.1818,0.734,0.462,10
0.01,2,15,0.5,0.5,0.1819,0.733,0.456,10
0.01,3,15,0.5,0.5,0.1819,0.733,0.456,10
0.003,2,10,0.5,0.6,0.1819,0.715,0.402,10
0.01,2,10,0.5,0.6,0.1819,0.72,0.42,10
0.005,2,10,0.5,0.6,0.182,0.709,0.387,10
0.005,3,15,0.5,0.7,0.1822,0.711,0.408,10
0.008,2,15,0.5,0.5,0.1823,0.733,0.455,10
0.008,2,10,0.5,0.6,0.1823,0.72,0.404,10
0.01,2,15,0.5,0.7,0.1823,0.72,0.398,10
0.01,3,15,0.5,0.7,0.1823,0.72,0.398,10
0.008,2,10,0.5,0.5,0.1824,0.736,0.42,10
0.003,2,15,0.5,0.7,0.1824,0.717,0.406,10
0.005,2,15,0.5,0.6,0.1825,0.727,0.421,10
0.005,3,15,0.5,0.6,0.1826,0.725,0.413,10
0.005,2,15,0.5,0.7,0.1827,0.714,0.416,10
0.003,3,8,0.5,0.5,0.1828,0.731,0.44,10
0.01,2,10,0.5,0.5,0.183,0.738,0.445,10
0.003,3,15,0.5,0.7,0.1831,0.715,0.406,10
0.003,2,15,0.5,0.6,0.1833,0.727,0.431,10
0.003,3,15,0.5,0.6,0.1833,0.727,0.431,10
0.01,3,10,0.5,0.6,0.1835,0.725,0.425,10
0.005,2,10,0.5,0.5,0.1836,0.736,0.44,10
0.01,3,15,0.6,0.5,0.1842,0.715,0.426,10
0.003,2,8,0.5,0.6,0.1844,0.72,0.386,10
0.008,2,8,0.5,0.5,0.1845,0.733,0.43,10
0.003,2,10,0.5,0.5,0.1845,0.73,0.417,10
0.003,3,10,0.5,0.7,0.1845,0.722,0.434,10
0.008,3,10,0.5,0.7,0.1845,0.722,0.424,10
0.008,2,8,0.5,0.6,0.1847,0.719,0.399,10
0.005,3,15,0.6,0.5,0.1849,0.72,0.444,10
0.008,3,10,0.5,0.5,0.185,0.72,0.434,10
0.003,2,10,0.5,0.7,0.185,0.723,0.407,10
0.01,3,8,0.6,0.5,0.1851,0.725,0.424,10
0.005,3,10,0.5,0.7,0.1851,0.717,0.419,10
0.005,2,15,0.5,0.5,0.1852,0.725,0.448,10
0.005,3,15,0.5,0.5,0.1852,0.725,0.448,10
0.01,3,10,0.5,0.7,0.1852,0.72,0.424,10
0.01,2,8,0.5,0.5,0.1853,0.728,0.453,10
0.005,3,10,0.5,0.5,0.1853,0.725,0.422,10
0.008,2,8,0.7,0.5,0.1853,0.728,0.406,10
0.003,3,10,0.7,0.5,0.1853,0.704,0.405,10
0.008,3,8,0.5,0.5,0.1854,0.727,0.412,10
0.005,2,15,0.6,0.5,0.1854,0.719,0.429,10
0.008,3,15,0.6,0.5,0.1854,0.715,0.436,10
0.01,2,8,0.7,0.5,0.1854,0.719,0.392,10
0.01,2,8,0.5,0.6,0.1854,0.717,0.397,10
0.003,2,15,0.6,0.5,0.1855,0.717,0.434,10
0.003,2,8,0.6,0.5,0.1856,0.699,0.376,10
0.008,2,8,0.6,0.5,0.1856,0.698,0.376,10
0.008,3,8,0.6,0.5,0.1856,0.722,0.419,10
0.003,3,15,0.6,0.5,0.1857,0.712,0.417,10
0.01,3,10,0.7,0.5,0.1857,0.715,0.429,10
0.005,2,8,0.5,0.6,0.1857,0.719,0.41,10
0.005,3,10,0.5,0.6,0.1857,0.715,0.397,10
0.005,2,8,0.5,0.5,0.1858,0.715,0.422,10
0.003,3,15,0.5,0.5,0.1858,0.725,0.46,10
0.01,2,15,0.6,0.5,0.1858,0.714,0.431,10
0.008,3,10,0.7,0.5,0.1858,0.722,0.427,10
0.003,2,15,0.5,0.5,0.1859,0.723,0.46,10
0.005,3,10,0.7,0.5,0.186,0.7,0.41,10
0.008,2,10,0.5,0.7,0.186,0.719,0.414,10
0.005,3,8,0.6,0.5,0.1862,0.725,0.429,10
0.01,2,8,0.6,0.5,0.1863,0.704,0.396,10
0.008,2,15,0.6,0.5,0.1863,0.712,0.419,10
0.008,2,10,0.7,0.5,0.1863,0.723,0.392,10
0.005,2,10,0.5,0.7,0.1863,0.723,0.417,10
0.01,2,10,0.5,0.7,0.1863,0.707,0.384,10
0.005,3,8,0.5,0.5,0.1864,0.725,0.44,10
0.003,2,8,0.5,0.5,0.1865,0.727,0.43,10
0.003,3,8,0.6,0.5,0.1865,0.715,0.424,10
0.003,3,10,0.5,0.5,0.1867,0.715,0.412,10
0.01,2,10,0.7,0.5,0.1867,0.722,0.395,10
0.008,3,8,0.7,0.5,0.1868,0.715,0.407,10
0.003,3,10,0.6,0.5,0.1869,0.712,0.37,10
0.01,3,8,0.7,0.5,0.1869,0.72,0.41,10
0.003,3,10,0.5,0.6,0.1869,0.719,0.404,10
0.005,2,8,0.6,0.5,0.1871,0.699,0.386,10
0.003,2,8,0.5,0.7,0.1871,0.711,0.394,10
0.008,3,10,0.5,0.6,0.1872,0.72,0.435,10
0.003,2,15,0.6,0.7,0.1872,0.712,0.401,10
